Country_Code,Country_Name,Year,GDP_per_Capita_USD,KM_Railway_per_1000_sq_km,Population_Density_sq_km,Land_Area_sq_km,Houshold_Transport,Household_Vehicle_Purchases,Household_Operation_Personal,Household_Transport_Services,Rail_Invest_USD
LVA,Latvia,2008,16467.1436879405,35.0,34.9899882687579,62227.0,11.083765939551,18.232274880395,62.166926611416,19.600798508189,67410000.0
LVA,Latvia,2009,12331.9285524089,29.2,34.4170376203256,62227.0,10.253746488176,9.0249760013356,66.485604279414,24.489332767568,67410000.0
LVA,Latvia,2010,11420.9940032836,29.4,33.7081170552975,62227.0,11.159314641112,13.74807135565,64.29655266546,21.955455798624,78110000.0
LVA,Latvia,2011,13338.9622350852,28.9,33.0999244700853,62227.0,11.827666195334,15.46949463322,65.003345128377,19.527160238403,56710000.0
LVA,Latvia,2012,13847.3379393194,28.8,32.691902228936,62227.0,11.99386965603,18.566191932494,62.729311630099,18.704560645626,109140000.0
LVA,Latvia,2013,15007.4918561719,28.8,32.3436289713468,62227.0,11.10903174098,18.791402198493,61.548663755019,19.659998491976,82390000.0
LVA,Latvia,2014,15742.3913381908,28.8,32.0404647500281,62227.0,11.433352880481,21.420031982208,58.717163520774,19.862804497018,145520000.0
LVA,Latvia,2015,13786.4567953114,28.8,31.7792437366417,62227.0,11.746169833284,20.680084646078,61.32158713138,20.755018382001,223630000.0
LVA,Latvia,2016,14331.7515885049,28.8,31.4901409356067,62227.0,11.921448780487,19.868961580998,62.328068849619,21.124240246952,26108000.0
LVA,Latvia,2017,15695.1151541059,28.8,31.2123033409935,62227.0,11.983960511825,22.702001748862,59.663282523287,20.859025727974,25145000.0
LVA,Latvia,2018,17865.0310947642,28.8,30.9700612274415,62227.0,11.925621356841,21.02607845078,61.506240623538,20.720306334946,22363000.0
LVA,Latvia,2019,17883.3494113217,28.8,30.755491989008,62227.0,11.665873019563,20.59945846876,60.486081667597,19.38454239938,28360350.0
LVA,Latvia,2020,18096.2027073394,28.8,30.5391129680219,62230.0,10.162097656107,23.113887498578,63.708740251711,13.177372249711,51916400.0
LVA,Latvia,2021,20930.3982374189,28.8,30.2826610959344,62230.0,11.062204275844,22.802399646718,63.171768793855,14.025783191155,89441300.0
MKD,North Macedonia,2005,3072.67963241319,27.2,80.0965395202517,25430.0,9.1779657874072,28.421468728039,36.595221363317,34.983309908644,1448816.6882279452
MKD,North Macedonia,2006,3362.97069325398,27.2,80.2291781360598,25430.0,9.7291073643846,28.79974832117,36.734234146758,34.466017532072,944273.483042136
MKD,North Macedonia,2007,4079.39040357019,27.2,80.9971858898137,25230.0,9.8073706931672,30.609895622481,34.368894443173,35.021209934346,629571.2149318815
MKD,North Macedonia,2008,4841.25366017816,27.2,81.1295283392786,25230.0,9.9473021384817,38.215374403855,30.271276857269,31.513348738876,5850792.946077034
MKD,North Macedonia,2009,4584.71243091987,27.2,81.311300555115,25220.0,9.1476311763903,31.989211700006,31.42398086911,36.586807430883,3457375.1952178124
MKD,North Macedonia,2010,4577.68954288046,27.2,81.4831086439334,25220.0,9.4450387973104,36.559191131995,32.334982395151,31.105826472854,2400444.7796909865
MKD,North Macedonia,2011,5098.09470097215,27.2,81.6232751784298,25220.0,10.269588672849,29.81216462955,39.443194318036,30.744641052414,486927.2388332636
MKD,North Macedonia,2012,4728.31307850676,27.2,81.72260111023,25220.0,9.1418617177653,25.619654748004,42.40855871493,31.971786537066,643406.1031757464
MKD,North Macedonia,2013,5241.05360094583,27.2,81.8410785091197,25220.0,8.6366030503181,20.908124573623,44.399105202202,34.693087528359,2797312.942788843
MKD,North Macedonia,2014,5495.73138040533,27.2,81.9774385408406,25220.0,8.393571198558,19.770384957885,45.418710721433,34.810904320682,3576818.3485166943
